"	192",柳林,2016-08-24,,,
"	192",柳林,2016-08-25,,,
"	192",柳林,2016-08-26,3.8,1,12:13
"	192",柳林,2016-08-27,0.2,0.2,
"	192",柳林,2016-08-28,31.8,4.6,1:39
"	192",柳林,2016-08-29,0.1,0.1,
"	192",柳林,2016-08-30,,,
"	192",柳林,2016-08-31,0,0,
"	192",柳林,2016-09-01,20.8,12.6,21:05
"	192",柳林,2016-09-02,76.4,8.8,9:42
"	192",柳林,2016-09-03,44.1,21.4,3:12
"	192",柳林,2016-09-04,17.1,12.3,15:05
"	192",柳林,2016-09-05,0.5,0.5,13:29
"	192",柳林,2016-09-06,0,0,
"	192",柳林,2016-09-07,0,0,
"	192",柳林,2016-09-08,,,
"	192",柳林,2016-09-09,,,
"	192",柳林,2016-09-10,1.6,1.6,12:57
"	192",柳林,2016-09-11,1.6,1.1,22:03
"	192",柳林,2016-09-12,8.5,1.7,1:59
"	192",柳林,2016-09-13,,,
"	192",柳林,2016-09-14,,,
"	192",柳林,2016-09-15,,,
"	192",柳林,2016-09-16,2.7,1.2,6:49
"	192",柳林,2016-09-17,174.5,31,10:18
"	192",柳林,2016-09-18,4.5,1.1,0:01
"	192",柳林,2016-09-19,0,0,
"	192",柳林,2016-09-20,,,
"	192",柳林,2016-09-21,,,
"	192",柳林,2016-09-22,,,
"	192",柳林,2016-09-23,,,
"	192",柳林,2016-09-24,,,
"	192",柳林,2016-09-25,,,
"	192",柳林,2016-09-26,3.8,2.3,15:10
"	192",柳林,2016-09-27,,,
"	192",柳林,2016-09-28,16.7,5.6,12:54
"	192",柳林,2016-09-29,4,1.1,3:18
"	192",柳林,2016-09-30,30.7,12,11:26
"	192",柳林,2016-10-01,0.5,0.3,0:01
"	192",柳林,2016-10-02,0.5,0.5,0:53
"	192",柳林,2016-10-03,,,
"	192",柳林,2016-10-04,1.9,1.8,22:58
"	192",柳林,2016-10-05,82.2,23.1,8:00
"	192",柳林,2016-10-06,,,
"	192",柳林,2016-10-07,1.6,1,23:07
"	192",柳林,2016-10-08,26.8,7.4,4:32
"	192",柳林,2016-10-09,,,
"	192",柳林,2016-10-10,,,
"	192",柳林,2016-10-11,,,
"	192",柳林,2016-10-12,,,
"	192",柳林,2016-10-13,,,
"	192",柳林,2016-10-14,,,
"	192",柳林,2016-10-15,,,
"	192",柳林,2016-10-16,41.7,6.7,19:55
"	192",柳林,2016-10-17,,,
"	192",柳林,2016-10-18,,,
"	192",柳林,2016-10-19,,,
"	192",柳林,2016-10-20,,,
"	192",柳林,2016-10-21,0,0,
"	192",柳林,2016-10-22,0,0,
"	192",柳林,2016-10-23,,,
"	192",柳林,2016-10-24,,,
"	192",柳林,2016-10-25,3.5,3.4,10:37
"	192",柳林,2016-10-26,,,
"	192",柳林,2016-10-27,,,
"	192",柳林,2016-10-28,10.7,1.7,4:30
"	192",柳林,2016-10-29,,,
"	192",柳林,2016-10-30,,,
"	192",柳林,2016-10-31,0.7,0.7,11:44
"	192",柳林,2016-11-01,,,
"	192",柳林,2016-11-02,,,
"	192",柳林,2016-11-03,,,
"	192",柳林,2016-11-04,,,
"	192",柳林,2016-11-05,,,
"	192",柳林,2016-11-06,,,
"	192",柳林,2016-11-07,,,
"	192",柳林,2016-11-08,0,,
"	192",柳林,2016-11-09,,,
"	192",柳林,2016-11-10,0,,
"	192",柳林,2016-11-11,,,
"	192",柳林,2016-11-12,,,
"	192",柳林,2016-11-13,1.1,,
"	192",柳林,2016-11-14,4,,
"	192",柳林,2016-11-15,,,
"	192",柳林,2016-11-16,,,
"	192",柳林,2016-11-17,,,
"	192",柳林,2016-11-18,25,,
"	192",柳林,2016-11-19,0.6,,
"	192",柳林,2016-11-20,,,
"	192",柳林,2016-11-21,,,
"	192",柳林,2016-11-22,,,
"	192",柳林,2016-11-23,,,
"	192",柳林,2016-11-24,,,
"	192",柳林,2016-11-25,,,
"	192",柳林,2016-11-26,1.8,,
"	192",柳林,2016-11-27,,,
"	192",柳林,2016-11-28,,,
"	192",柳林,2016-11-29,,,
"	192",柳林,2016-11-30,4.5,,
"	192",柳林,2016-12-01,,,
"	192",柳林,2016-12-02,,,
"	192",柳林,2016-12-03,,,
"	192",柳林,2016-12-04,,,
"	192",柳林,2016-12-05,,,
"	192",柳林,2016-12-06,,,
"	192",柳林,2016-12-07,,,
"	192",柳林,2016-12-08,,,
"	192",柳林,2016-12-09,,,
"	192",柳林,2016-12-10,,,
"	192",柳林,2016-12-11,,,
"	192",柳林,2016-12-12,,,
"	192",柳林,2016-12-13,,,
"	192",柳林,2016-12-14,,,
"	192",柳林,2016-12-15,,,
"	192",柳林,2016-12-16,,,
